jasc_code,title,ata_chapter,ata_chapter_title,definition,system_level,wiring_code,single_engine_piston,multi_engine_piston,turboprop,business_jet_transport_jet,rotorcraft,notes,source,source_last_updated,source_url
3500,Oxygen System,35,Oxygen,"The units and components which store, regulate, and deliver breathing oxygen to the passengers and crew. Typical parts are bottles, relief valves, shut-off valves, outlets, regulators, masks, walk-around bottles, etc.",1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3510,Crew Oxygen System,35,Oxygen,The portion of the main system which furnishes oxygen to the crew.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3520,Passenger Oxygen System,35,Oxygen,The portion of the main system which furnishes oxygen to the passengers.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3530,Portable Oxygen System,35,Oxygen,"The equipment attached to the portable bottle to regulate and dispense breathing oxygen, including the storage bottle for the portable oxygen system.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3597,Oxygen System Wiring,35,Oxygen,For reports indicating a problem with wiring specific to the Oxygen System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3600,Pneumatic System,36,Pneumatic,"The units and components which deliver large volumes of compressed air from a power source to connecting points for other systems such as air conditioning, pressurization, deicing, etc.",1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3610,Pneumatic Distribution System,36,Pneumatic,"Components and parts other than the regulator and shutoff valves delivering large volumes of compressed air from a power source to the control valves of using systems such as conditioning, pressurization. Doesn't include engine and airfoil anti-icing/deicing systems. Typical parts are regulator valve, actuator, duct, ducts valves, manifold, clamp, flow venturi, bellows, wye duct, check valve.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3620,Pneumatic Indicating System,36,Pneumatic,"The system components and parts which sense, transmit, and indicate the temperature and pressure of air in the distribution system other than the pressure indicator or sensor. Includes the instrument which indicates air pressure in the pneumatic distributing systems. Does not include the using systems.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3697,Pneumatic System Wiring,36,Pneumatic,For reports indicating a problem with wiring specific to the Pneumatic System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3700,Vacuum System,37,Vacuum,"The units and components used to generate, deliver, and regulate negative air pressure. Use this code for general reports of the pressure/vacuum system with insufficient information to file in a more specific JASC 3700 series code.",1,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3710,Vacuum Distribution System,37,Vacuum,"The system components and parts, including the pump, regulator, oil separator or indication system, which are used to distribute low volume, negative pressure air (suction) to systems such as gyroscopic flight instruments, cabin rate controller, etc.; and to distribute low volume, positive pressure air to systems such as air foil deicer boots. Does not include the using systems. Typical parts are pump, filter, regulator, lines, manifold, check valves, element, etc.",0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3720,Vacuum Indicating System,37,Vacuum,The system components and parts including which indicates negative air pressure in the vacuum lines. Includes the indicator and warning systems. Typical parts are the vacuum indicator and associated lines.,0,0,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3797,Vacuum System Wiring,37,Vacuum,For reports indicating a problem with wiring specific to the Vacuum System.,0,1,0,0,0,0,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3800,Water and Waste System,38,Water/Waste,The fixed units and components which store and deliver fresh water. Also includes those fixed components which store and furnish a means of removal of water and waste. Use this code for reports with insufficient information to file in a more specific JASC 3800 series code. This code is also used for reports common to two or more systems.,1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3810,Potable Water System,38,Water/Waste,The system which is used to store and deliver fresh drinking water.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3820,Wash Water System,38,Water/Waste,The system which is used to store and deliver wash water.,0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3830,Waste Disposal System,38,Water/Waste,"The system and components used for the disposal of water and waste. Includes wash basins, water closets, flush systems and collection tanks. Typical parts are valve, flush motor, lines, timer, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3840,Air Supply (Water Pressure System),38,Water/Waste,"The system which provides the pressure to distribute potable water to the lavatories, etc. Typical parts are pump, motor, lines, etc.",0,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
3897,Water/Waste System Wiring,38,Water/Waste,For reports indicating a problem with wiring specific to the Water/Waste System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4500,Central Maintenance Computer,45,Central Maintenance System (CMS),"The unit, components and associated systems which interface with other airplane systems and provides a convenient way of communicating system problems to aircraft maintenance personnel. The system contains checkout and fault isolation procedures using a central computer to locate a single system or component malfunction. Typical parts are computer, storage devices, controls, display, etc.",1,0,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4597,Central Maintenance System Wiring,45,Central Maintenance System (CMS),For reports indicating a problem with wiring specific to the Central Maintenance System.,0,1,0,0,0,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4900,Airborne Auxiliary Power Unit (APU) System,49,Airborne Auxiliary Power,"The airborne auxiliary power units (APU) installed on aircraft for the purpose of generating and supplying a single type or combination of auxiliary electric, hydraulic, pneumatic or other power. Does not include generators, alternators, hydraulic pumps, etc., or their connecting systems which supply and deliver power to their respective aircraft systems. Use this code for reports of a general nature with insufficient information to file in a specific JASC 4900 series code, or for reports which involve two or more APU systems. An entry ""APU"" is acceptable if no specific part is reported. The APU as well as aircraft make and model should be reported if known.",1,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4910,APU Cowling/Containment,49,Airborne Auxiliary Power,"The system of cowling and other components used to cover the auxiliary power unit, and contain any broken parts in the event of an external failure.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4920,APU Core Engine,49,Airborne Auxiliary Power,"For reports of basic engine defects such as compressor, turbine, cases other than specific systems shown in other APU sub-systems such as fuel, ignition, exhaust, starting and controls. The APU make and model should be included if available. Typical parts are turbine, bearing, seal, impeller, blade, case, burner can, etc.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4930,APU Engine Fuel and Control,49,Airborne Auxiliary Power,"The system and components which furnishes fuel from the aircraft tanks to the APU fuel control and associated injector nozzles. Including the unit which provides fuel at the proper pressure for fuel control operation; and the unit controlling and injecting metered fuel to the engine burner can section. Typical parts are shutoff valve, line, fitting, etc.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4940,APU Start/Ignition System,49,Airborne Auxiliary Power,"The system units used to start the APU engine. Including the unit which provides a power source to the igniter during the starting cycle. Typical parts are ignition unit, magneto, igniter, starter, etc.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4950,APU Bleed Air System,49,Airborne Auxiliary Power,"The system and components which provide and control a source of pressure and high volume of air for aircraft using systems such as engine starting, cabin air conditioning prior to starting engines. Typical parts are duct, bleed valve, clamp, seal, etc.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4960,APU Controls,49,Airborne Auxiliary Power,"The system components which electrically and manually control operation of the APU engine. Typical parts are relay, control box, etc.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4970,APU Indicating System,49,Airborne Auxiliary Power,"For general reports of APU operation indicating including the temperature indicator, tachometer generator or indicator (engine speed). Includes the instrument and associated warning system which sense, transmits, and indicates APU engine speed and temperatures to the flight crew.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4980,APU Exhaust System,49,Airborne Auxiliary Power,"The components and parts which collect and direct exhaust gasses from the APU turbine to the aircraft exterior. Includes the movable door fairing. Typical parts are nozzle, door, actuator, seal, clamp, and shield.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4990,APU Oil System,49,Airborne Auxiliary Power,"The system and components used for APU engine lubrication. Typical parts are filter, pump, relief valve, hose, line, etc.",0,0,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
4997,APU System Wiring,49,Airborne Auxiliary Power,For reports indicating a problem with wiring specific to the APU System.,0,1,0,0,1,1,0,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5100,Standard Practices/Structures,51,Standard Practices/Structures,The standard practices and general procedures for typical repairs applicable to more than one chapter that are not specifically covered under JASC Chapters 52 through 57.,1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5101,Aircraft Structures,51,Standard Practices/Structures,For reports of aircraft structural problems of a general nature which affects two or more areas. Includes reports of lightning strikes which cannot be associated with a specific JASC code.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5102,Balloon Reports,51,Standard Practices/Structures,"For all balloon reports irrespective of location or component involved. Includes all airship reports irrespective of location or component involved. Also includes reports for water ballast. Typical parts are stitching, seam, fabric, burner, valve, handle, valve seat, manifold and burner fuel tank, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5200,Doors,52,Doors,"The removable units used for entrance or exit, and for enclosing other structure contained within the fuselage. Includes passenger and crew doors, cargo doors, emergency exits, etc. Electrical and hydraulic systems associated with door control are included as appropriate. Use this code for door reports of a general nature which affect two or more specific type of doors or are reported with insufficient information to file in a more specific JASC 5200 series code.",1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5210,Passenger/Crew Doors,52,Doors,"For reports of cabin entrance doors. Does not include door frames, warning systems, or cabin emergency exit doors/hatches. Typical parts are hinges, actuators, latches, handle, seals, structure, spring, cable, bellcrank, skin, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5220,Emergency Exits,52,Doors,"For reports of emergency exit doors, windows and hatches. Typical parts are pan, hinge, latch, hook, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5230,Cargo/Baggage Doors,52,Doors,"For exterior doors used to gain access to cargo or baggage storage areas. Does not include door frames on fuselage, door warning or compartment interior furnishings. Typical parts are door structure, seal, hinge, latch, latch pin, handle, skin, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5240,Service Doors,52,Doors,For reports pertaining to exterior doors used to gain access for servicing aircraft systems and equipment. Does not include the fluid service doors which are covered in JASC 5246.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5241,Galley Doors,52,Doors,"For reports pertaining to the galley door. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5242,Electrical/Electronic Compartment Doors,52,Doors,"For reports pertaining to the electrical/electronic compartment doors. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5243,Hydraulic Compartment Doors,52,Doors,"For reports pertaining to the hydraulic compartment doors. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5244,Accessory Compartment Doors,52,Doors,"For reports pertaining to the accessory compartment doors. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5245,Air Conditioning Doors,52,Doors,"For reports pertaining to doors used to gain access to the air conditioning compartment system and components. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5246,Fluid Service Doors,52,Doors,"For reports of service doors used to gain access to fluid service areas, excluding compartment doors which are filed in JASC code 5243. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5247,Auxiliary Power Unit (APU) Doors,52,Doors,"For reports of doors used to gain access for servicing the APU and components. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5248,Tail Cone Doors,52,Doors,"For reports pertaining to the tail cone door. Typical parts are hinges, structure, and the latch mechanism.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5250,Fixed Inner Doors,52,Doors,"For reports of doors within the fuselage in fixed partitions. Typical parts are structure, hinges, latches, lining but does not include doors in movable partitions.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5260,Entrance Stairs,52,Doors,"For reports of cabin entrance stairs which operate in conjunction with but are not an integral part of entrance doors. Typical parts are structure, actuator, controls and handrails, step, cable, bungee, latch hook, latch, bracket, bellcrank, etc.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5270,Door Warning System,52,Doors,"The system which is used to indicate to flight crews whether the exterior doors are closed and properly latched. Does not include the landing gear position warning indications which are covered in JASC code 3260. Typical parts are switch, lamp, horn, relay, etc. The suspect door should be identified if known.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5280,Landing Gear Doors,52,Doors,"For reports pertaining to the structural aspects of landing gear doors including hinges and seals on the wing, landing gear, and fuselage mounted doors. The door position on the aircraft or landing gear (i.e., nose, right main outboard, etc.) should be shown in the part location field. Does not include the operating mechanism or position indicating or warning system which is filed in JASC codes 3231 or 3260.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5297,Door System Wiring,52,Doors,For reports indicating a problem with wiring specific to the Door Systems.,0,1,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5300,Fuselage Structure (General),53,Fuselage,"For reports of structural units and associated components and members which make up the compartments for crew, passengers, equipment, cargo, plus the structure of the envelope and gondola of airships.",1,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5301,Aerial Tow Equipment,53,Fuselage,For reports of defective aerial tow equipment including the attachments on fuselage and release mechanism.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5302,Rotorcraft Tail Boom,53,Fuselage,"For reports of the structure including exterior skin and truss framework of tail booms on rotorcraft. Includes attach fittings, etc., for tail boom and stabilizer surfaces. Typical parts are bulkhead, bracket, frame, frame tube, plate, etc.",0,0,0,0,0,0,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5310,"Fuselage Main, Structure",53,Fuselage,For general reports of fuselage structure defects which affect two or more related parts or are reported with insufficient information to file in a more specific JASC 5300 series code. Use of this code should be avoided if possible.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5311,"Fuselage Main, Frame",53,Fuselage,For reports of the main fuselage frames. The associated attach fittings are covered in JASC code 5320.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5312,"Fuselage Main, Bulkhead",53,Fuselage,For reports of the main fuselage bulkheads and the associated attach fittings.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5313,"Fuselage Main, Longeron/Stringer",53,Fuselage,For reports of the main fuselage longerons/stringers.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5314,"Fuselage Main, Keel",53,Fuselage,For reports of the main fuselage keel beams.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5315,"Fuselage Main, Floor Beam",53,Fuselage,For reports of the main fuselage floor beams.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5320,Fuselage Miscellaneous Structure,53,Fuselage,"For reports of miscellaneous structure on the main fuselage structure which aids in the support of the primary structure. Includes such items as brackets, channels, stiffeners, clips, doublers, etc. Does not include movable partitions which are covered in JASC Chapter 25.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5321,Fuselage Floor Panel,53,Fuselage,For reports of the interior floor panels within the main fuselage structure.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5322,Fuselage Internal Mounting Structure,53,Fuselage,For reports of the internal mounting structure which aids in the support of the fuselage structure.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5323,Fuselage Internal Stairs,53,Fuselage,For reports of the internal stairs which are part of the fuselage structure.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5324,Fuselage Fixed Partitions,53,Fuselage,For reports of the fixed partitions which are part of the fuselage structure.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5330,"Fuselage Main, Plate/Skin",53,Fuselage,For reports of the exterior covering of the fuselage including access covers.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5340,"Fuselage Main, Attach Fittings",53,Fuselage,"For reports of the fittings on the fuselage used for the attachment of doors, wings, stabilizers, landing gear, engine and rotor pylons, and the support of equipment within the fuselage. For reports of fuselage attach fittings that can not be specifically identified in JASC codes 5341 through 5347.",0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5341,"Fuselage, Wing Attach Fittings",53,Fuselage,For reports of the fittings on the fuselage used for the attachment of the wings.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5342,"Fuselage, Stabilizer Attach Fittings",53,Fuselage,For reports of the fittings on the fuselage used for the attachment of the stabilizers,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5343,"Fuselage, Landing Gear Attach Fittings",53,Fuselage,For reports of the fittings on the fuselage used for the attachment of the landing gear.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5344,"Fuselage, Door Hinge",53,Fuselage,For reports of the fittings on the fuselage used for the attachment of the doors.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
5345,"Fuselage, Equipment Attach Fittings",53,Fuselage,For reports of the fittings on the fuselage used for the attachment of equipment.,0,0,1,1,1,1,1,Heuristic applicability; confirm against aircraft IPC/AMM/maintenance manual.,FAA Joint Aircraft System/Component Code Table and Definitions,2008-10-27,https://sdrs.faa.gov/documents/JASC_Code.pdf
